BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
97KM01055,Tô sứ Komi,Cai,,Cai,,POSM,0.000575,0.001375,"1,400",,1,,,Active
BGTP00028,Thùng carton hủ tiếu CHIN-SU Bò kho (có thịt) 145gr (420x280x155)mm,Cai,,Cai,,PG,,,800,,1,,,Active
03NM00530,NM cốt Phú Quốc 4can x 4.8L,Can,Thu,Thu,Can,FG,0.0231,0.035154,27,9,4,4,Y,Active
97KM00894,Balo Omachi_MN,Cai,,Cai,,POSM,0.0005,0.00702,225,,1,,,Active
97KM00893,IPhone 7 Jet Black - 128GB,Cai,,Cai,,POSM,0.000188,0.00072,,,1,,,Active
04MS00589,Màng xốt cà mì Omachi Spaghetti (1000m x 150mm x 95µm),Cuo,Met,Met,,PG,,,,,0,,,Active
08CF00524,Cà phê VCF hòa tan IC 502 XK TES 1bịch x 25kg,Bic,Thu,Thu,Bic,FG,0.027,0.08911968,12,,1,1,Y,Active
BGNF00382,Nhãn decal thùng cà phê VCF hòa tan IC 502 XK TES 25kg (297x210)mm,Cai,,Cai,,PG,,,,,1,,,Active
99NT10014,BTP1 nước tương đậu nành phân giải liên tục xử lý 3MCPD,Lit,,Lit,,IP,,,,,1,,,Active
97KM00897,Tô sứ Omachi NM,Cai,,Cai,,POSM,0.000366667,0.000906667,"2,100",,1,,,Active
AHBO00134,MC 60/12 (Chocolate milk powder),Kgs,,Kgs,,RM,0.001,,,,1,,,Active
BNMC00327,Màng co thân bình NK Quang Hanh không gas (460mm x 510mm x 30µm),Kgs,,Kgs,,PG,0.001,,,,1,,,Active
97KM00151,Túi Lemona TwinBag 1.5L,Cai,,Cai,,POSM,0.000135,0.0002849,,,1,,,Active
97KM00895,Thùng đá Wake up 247 70Lit,Cai,,Cai,,POSM,0.006,0.11088,,,1,,,Active
ACNU00122,Xiameter AFE 3168 (NLL010011),Kgs,,Kgs,,RM,0.001,,800,,1,,,Active
97KM00898,Ly thủy tinh Salto Xanh Vĩnh Hảo,Cai,,Cai,,POSM,0.00026,0.001,,,1,,,Active
ACNU00121,Wallabies 281091 (NLB030021),Kgs,,Kgs,,RM,0.001,,800,,1,,,Active
97KM00896,Vàng Doji 999.9,Luo,,Luo,,POSM,,,,,1,,,Active
BGTM01054,Thùng carton mì nấu Kokomi Đại 90 vị Bò rau thơm 90gr (430x355x285)mm,Cai,,Cai,,PG,,,,,1,,,Active
BGTA00862,Thùng carton NM Nam Ngư cá cơm MN 5 lớp 2L (305x205x370)mm,Cai,,Cai,,PG,,,"1,040",,1,,,Active
BGTA00863,Thùng carton NM Nam Ngư cá cơm MB 5 lớp 2L (305x205x370)mm,Cai,,Cai,,PG,,,"1,040",,1,,,Active
04VF01041,Chai PET NM Nam Ngư cổ dầu 2L,Cai,,Cai,,PG,,,,,1,,,Active
BNPH00101,Phôi PET cổ dầu 108gr,Cai,,Cai,,PG,,,,,1,,,Active
97KM01069,Điện thoại Samsung SM - G935FD,Cai,,Cai,,POSM,,,,,1,,,Active
ANKS00226,Thuốc Tiasan 100 100ml,Cha,,Cha,,RM,,,,,1,,,Active
993400025,BTP chi phí chuồng trống_H07,UNI,,UNI,,IP,,,,,1,,,Active
04MS01140,Màng mì nấu Kokomi Đại 90 vị Bò rau thơm 90gr (1800m x 330mm x 44µm),Cuo,Met,Met,,PG,1.50E-05,2.62E-05,"40,500",,0,,,Active
993400030,BTP chi phí chuồng trống_H12,UNI,,UNI,,IP,,,,,1,,,Active
BGTM01527,Thùng carton mì Kokomi Pro canh chua tôm MB KM 1chai TO CHIN-SU 250gr - 82gr (355x104x350)mm,Cai,,Cai,,PG,,,"1,200",,1,,,Active
BGRD00074,Thùng carton trà Bupnon TEA365 ô long vị đào (QR) 450ml (345x234x203)mm,Cai,,Cai,,PG,,,,,1,,,Active
BGTM01526,Thùng carton mì Kokomi Pro canh chua tôm MN KM 1chai TO CHIN-SU 250gr - 82gr (355x104x350)mm,Cai,,Cai,,PG,,,"1,800",,1,,,Active
BGTN00361,Thùng carton NT CHIN-SU XK EU 500ml (293x222x240)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNNN00275,Nhãn co PVC hồng trà Bupnon TEA365 hương đào (QR) 450ml (110x169)mm,Cai,Cuo,Cuo,,PG,,,,,"5,917",,,Active
BNNN00276,Nhãn co PVC trà Bupnon TEA365 ô long vị đào (QR) 450ml (110x169)mm,Cai,Cuo,Cuo,,PG,,,,,"5,917",,,Active
